snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
34,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,6.143921398055491,433.88165283203125,0.5463476181030273,0.0,6.143921398055491,NA,NA
35,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,50.002452801688605,23637.30859375,0.5427815318107605,23637.30859375,14.425822121525242,0.9999999999999999,1.0
36,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,76.89406883061469,33132.7265625,0.5461763143539429,33132.7265625,17.22650115251111,1.0,1.0
37,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,92.15205833489642,30628.677734375,0.5476942658424377,19574.609375,7.629466939386215,0.9999999999999999,1.0
38,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,52.596252888475306,31519.666015625,0.5406932234764099,31519.666015625,16.427207184180446,1.0,1.0
39,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,19.583890277406443,7521.37939453125,0.5435207486152649,7521.37939453125,7.917023241241835,1.0,1.0
40,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,4.4908306651975405,528.0,0.5447533130645752,0.0,4.4908306651975405,NA,NA
41,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,4.688563962843904,529.9843139648438,0.5492599606513977,0.0,4.688563962843904,NA,NA
42,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,3.388534449067404,287.9998779296875,0.5498716831207275,0.0,3.388534449067404,NA,NA
43,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,4.177379815098476,266.8398132324219,0.5504760146141052,0.0,4.177379815098476,NA,NA
44,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,5.767729645472497,615.9921875,0.5473992228507996,0.0,5.767729645472497,NA,NA
45,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,4.714490591398793,337.9993896484375,0.5614023804664612,0.0,4.714490591398793,NA,NA
46,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,5.173337644704893,444.99993896484375,0.5518190860748291,0.0,5.173337644704893,NA,NA
47,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,4.33546847621778,483.99993896484375,0.5488548278808594,0.0,4.33546847621778,NA,NA
48,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,3.6934241566859503,236.7603759765625,0.5512828230857849,0.0,3.6934241566859503,NA,NA
