snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,2.746225873651085,593.8770751953125,0.43845614790916443,0.0,2.746225873651085,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,2.693009950973754,370.44451904296875,0.4397408068180084,0.0,2.693009950973754,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,3.4467774083499205,546.2201538085938,0.43860992789268494,0.0,3.4467774083499205,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,120.87051617255602,88589.3359375,0.4471704363822937,88589.3359375,3.6937407800693385,0.9999999999999999,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,44.74440705543653,43310.88671875,0.43922093510627747,43310.88671875,3.021994025837145,1.0,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,2.61832500496087,430.0391845703125,0.4458736479282379,1.8834398984909058,2.6193718498418814,0.8390313390313391,0.008771929824561403
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,12.24244673786604,8579.34375,0.4387630522251129,8579.34375,2.920247278386024,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,4.952940692201477,1906.929443359375,0.44000470638275146,1906.929443359375,3.3849468730199663,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,2.591275665788282,503.7854919433594,0.43764111399650574,0.0,2.591275665788282,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,12.257606808222452,8618.4697265625,0.43811482191085815,8618.4697265625,3.1311888657470774,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,3.5524646691692263,682.888427734375,0.43948814272880554,0.0,3.5524646691692263,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.0594226189117397,675.6339721679688,0.438342422246933,0.0,3.0594226189117397,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,2.7610803751823987,422.0133056640625,0.4391210377216339,0.0,2.7610803751823987,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,3.138928491683683,401.2132263183594,0.4385260045528412,0.0,3.138928491683683,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,3.26305440393521,263.01776123046875,0.44367989897727966,0.0,3.26305440393521,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,4.103303711295752,285.5723876953125,0.45937231183052063,0.0,4.103303711295752,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,45.76466262924025,22762.78515625,0.4375755190849304,22762.78515625,11.500679984261726,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,72.74194934325175,32065.53515625,0.4385160207748413,32065.53515625,14.993225143059066,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,87.13051195561756,29752.310546875,0.4483570456504822,19015.54150390625,5.011592250842593,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,49.261360456557554,30658.79296875,0.4401315152645111,30658.79296875,14.077990791852447,0.9999999999999999,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,17.690692504925757,7303.78857421875,0.45914390683174133,7303.78857421875,6.359280558247959,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,3.0065137675780353,466.4363708496094,0.44551607966423035,0.0,3.0065137675780353,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,3.1444699186644827,442.8134460449219,0.441562682390213,0.0,3.1444699186644827,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.2716259300390598,253.20834350585938,0.4388175308704376,0.0,2.2716259300390598,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,2.945993347234852,199.40872192382812,0.4633833169937134,0.0,2.945993347234852,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,3.8061295340939787,490.7127685546875,0.4401834309101105,0.0,3.8061295340939787,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,3.3670101522472855,297.4018249511719,0.4730227291584015,0.0,3.3670101522472855,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,3.6862246404147014,393.0792541503906,0.43731796741485596,0.0,3.6862246404147014,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,3.176752174069885,432.4137268066406,0.4537625312805176,0.0,3.176752174069885,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,2.589655121867086,140.1453857421875,0.4425840973854065,0.0,2.589655121867086,NA,NA
