snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,2.766377379868057,461.7892761230469,0.5184202194213867,0.0,2.766377379868057,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,2.774810437466457,280.5487365722656,0.5254899859428406,0.0,2.774810437466457,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,3.5090592167424886,446.72137451171875,0.5476469397544861,0.0,3.5090592167424886,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,121.75408729445682,89271.15625,0.5280607342720032,89271.15625,3.675408933257425,1.0,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,45.16969448626616,43753.55078125,0.5190703272819519,43753.55078125,3.0208216928585054,1.0,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,2.6940001413798433,356.4988098144531,0.4525184631347656,1.7200706005096436,2.695387505398177,0.792022792022792,0.006802721088435374
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,12.162758867507396,8477.5703125,0.5297906994819641,8477.5703125,2.951216371715782,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,4.899079462890766,1915.1331787109375,0.5317745804786682,1915.1331787109375,3.3242780620267545,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,2.587061229786671,395.9547424316406,0.5308176279067993,0.0,2.587061229786671,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,12.187727808131505,8503.0390625,0.5223297476768494,8503.0390625,3.1836436780234787,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,3.608227203905055,526.182861328125,0.526648223400116,0.0,3.608227203905055,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.1064472077388356,515.088623046875,0.527673065662384,0.0,3.1064472077388356,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,2.846257470240278,323.31396484375,0.4406181275844574,0.0,2.846257470240278,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,3.195284325100801,334.0172119140625,0.5447421073913574,0.0,3.195284325100801,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,3.551464820330122,256.2937927246094,0.5593275427818298,0.0,3.551464820330122,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,4.2889676952237235,269.3292236328125,0.551652729511261,0.0,4.2889676952237235,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,46.1417455030493,22947.203125,0.5093300342559814,22947.203125,11.600174794909101,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,73.37902060806215,32341.404296875,0.4640335738658905,32341.404296875,15.13348761841063,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,87.84560041177865,29981.951171875,0.5065818428993225,19161.2646484375,5.09757851145014,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,49.581173245655,30850.640625,0.5283647775650024,30850.640625,14.177656634443109,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,17.82822587493784,7339.44091796875,0.5261431336402893,7339.44091796875,6.44158094166597,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,2.9786532112667636,379.8045349121094,0.4547930061817169,0.0,2.9786532112667636,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,3.1730471023149716,360.7651672363281,0.5442990064620972,0.0,3.1730471023149716,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.3558386410470535,204.6990509033203,0.5250320434570312,0.0,2.3558386410470535,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,2.9122159248924886,167.08726501464844,0.5453079342842102,0.0,2.9122159248924886,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,3.774457631226642,399.0298767089844,0.5496856570243835,0.0,3.774457631226642,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,3.3600950752206415,263.8868713378906,0.5428892374038696,0.0,3.3600950752206415,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,3.4953994773175685,328.337646484375,0.548679530620575,0.0,3.4953994773175685,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,2.963990715943466,347.98785400390625,0.5343753099441528,0.0,2.963990715943466,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,2.5979191941274724,119.21187591552734,0.538689911365509,0.0,2.5979191941274724,NA,NA
