snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,3.241775948202217,685.8089599609375,0.4377308189868927,0.0,3.241775948202217,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,3.0006133664173436,432.6947937011719,0.4339895248413086,0.0,3.0006133664173436,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,4.096204345410859,635.3452758789062,0.43733301758766174,0.0,4.096204345410859,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,127.4632470842707,92959.3046875,0.4785768985748291,92959.3046875,4.507165706236631,0.9999999999999999,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,47.197267441850634,45333.53515625,0.4565177261829376,45333.53515625,3.5267391016306275,1.0,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,3.08983867122642,497.8424377441406,0.47420796751976013,1.9963668584823608,3.091396323381326,0.809116809116809,0.007407407407407408
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,13.316756486147643,9012.5380859375,0.4631710648536682,9012.5380859375,3.5243502517065624,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,5.674565798441896,2007.9136962890625,0.45179301500320435,2007.9136962890625,4.023915237443858,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,3.0161685289587465,585.0001831054688,0.4386759400367737,0.0,3.0161685289587465,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,13.225267329363753,9012.4208984375,0.4395799934864044,9012.4208984375,3.682111835081529,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,4.085126954604274,795.2915649414062,0.43494465947151184,0.0,4.085126954604274,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.4803997833153297,785.082275390625,0.4343962073326111,0.0,3.4803997833153297,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,3.137263896585168,493.6590881347656,0.4344804584980011,0.0,3.137263896585168,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,3.6900074021651013,472.763427734375,0.43482035398483276,0.0,3.6900074021651013,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,4.073650535492771,310.9144287109375,0.45984578132629395,0.0,4.073650535492771,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,5.290298014255094,327.4430236816406,0.5204342603683472,0.0,5.290298014255094,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,48.880330846117566,23829.091796875,0.4514387249946594,23829.091796875,13.012741907914119,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,76.67221449919649,33493.55859375,0.4478658437728882,33493.55859375,16.352925005963993,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,91.96559185317474,31008.841796875,0.47228357195854187,19817.5693359375,6.3881352627872126,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,52.07541378980115,31911.869140625,0.46032604575157166,31911.869140625,15.454961230220466,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,19.047744300378405,7603.099609375,0.49864527583122253,7603.099609375,7.252951353139491,0.9999999999999999,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,3.6517364421198444,526.3671264648438,0.4987579584121704,0.0,3.6517364421198444,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,3.6383248300955047,499.6996765136719,0.4574626088142395,0.0,3.6383248300955047,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.6514649220951085,287.251220703125,0.4373433589935303,0.0,2.6514649220951085,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,3.8771461336919577,224.4900360107422,0.5046007633209229,0.0,3.8771461336919577,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,4.687977978154037,556.6375732421875,0.47339677810668945,0.0,4.687977978154037,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,4.221046313720664,337.2737731933594,0.5230116844177246,0.0,4.221046313720664,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,4.58276709015143,444.1003723144531,0.4560249447822571,0.0,4.58276709015143,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,4.184653560097798,483.1369934082031,0.48224326968193054,0.0,4.184653560097798,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,3.2343108578467032,160.66339111328125,0.4798252284526825,0.0,3.2343108578467032,NA,NA
