snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,3.764408742759254,687.5468139648438,0.4919552206993103,0.0,3.764408742759254,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,3.44309682859047,433.7904968261719,0.47772160172462463,0.0,3.44309682859047,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,4.751470996066928,637.351806640625,0.4891108572483063,0.0,4.751470996066928,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,128.02814405486382,92955.421875,0.5586471557617188,92955.421875,5.077953682751056,1.0,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,47.7295070403688,45335.40625,0.5354137420654297,45335.40625,4.057687616106859,1.0,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,3.542554295079976,498.9568176269531,0.5574970245361328,1.9955435991287231,3.5447580140200774,0.7763532763532763,0.006329113924050633
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,13.855691767581131,9011.3203125,0.5459262728691101,9011.3203125,4.065197076903853,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,6.33768476626822,2008.007568359375,0.530846357345581,2008.007568359375,4.687503493726499,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,3.4727610658826378,586.9288330078125,0.5029852986335754,0.0,3.4727610658826378,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,13.794488146427577,9012.474609375,0.49898478388786316,9012.474609375,4.251879322219122,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,4.775388034776718,798.1867065429688,0.4881337583065033,0.0,4.775388034776718,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,4.023498282211469,788.2086181640625,0.4701899290084839,0.0,4.023498282211469,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,3.648932963363395,495.548828125,0.48521944880485535,0.0,3.648932963363395,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,4.223252295955967,474.55426025390625,0.4833936393260956,0.0,4.223252295955967,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,4.617601148498445,312.0702819824219,0.5435144305229187,0.0,4.617601148498445,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,5.943342719870712,380.4471130371094,0.6168088912963867,0.0,5.943342719870712,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,49.762154333562734,23832.541015625,0.5231741070747375,23832.541015625,13.890693004314716,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,77.32471783365216,33498.77734375,0.5181503891944885,33498.77734375,16.997186017918672,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,92.7918922657843,31013.83203125,0.5462992191314697,19820.767578125,7.2041452555490935,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,52.77661306521375,31917.19921875,0.5270050764083862,31917.19921875,16.150839955231238,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,19.544655795793357,7604.44677734375,0.5965436100959778,7604.44677734375,7.748540521224216,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,4.195558234830756,526.91455078125,0.5838575959205627,0.0,4.195558234830756,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,4.138028459804114,500.0180358886719,0.5399976372718811,0.0,4.138028459804114,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,3.0088540255705234,287.3874206542969,0.4996717870235443,0.0,3.0088540255705234,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,4.214264160729084,233.89151000976562,0.5751572251319885,0.0,4.214264160729084,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,5.285031585441741,556.8623046875,0.5658535957336426,0.0,5.285031585441741,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,4.611268452566522,337.3454284667969,0.6227329969406128,0.0,4.611268452566522,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,4.978554910010688,444.17596435546875,0.5381041765213013,0.0,4.978554910010688,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,4.5441774913904736,483.18017578125,0.5622935891151428,0.0,4.5441774913904736,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,3.541300542925445,160.62596130371094,0.5635965466499329,0.0,3.541300542925445,NA,NA
